animal_name,wikipedia_sentence
ツチブタ,ツチブタ (土豚 Orycteropus afer) は、哺乳綱管歯目ツチブタ科ツチブタ属に分類される哺乳類。現生種では本種のみで管歯目ツチブタ科ツチブタ属を構成する。なお、現生哺乳類で1目1科1属1種なのはツチブタのみである。
トナカイ,トナカイ（アイヌ語: tunakkay、学名: Rangifer tarandus）は、哺乳綱鯨偶蹄目シカ科（シカ）トナカイ属の1種である。本種のみでトナカイ属を形成する。別名、馴鹿（じゅんろく）。英語では reindeer という。北アメリカ大陸で生息する個体は、カリブー (Caribou) と呼ばれる。チバニアンから現代まで生息する。
ノウサギ,ノウサギ属（ノウサギぞく、学名：Lepus）は、ウサギ目ウサギ科の属。
ハイエナ,ハイエナ（鬣犬、英: hyena）は、食肉目ハイエナ科（Hyaenidae）に属する動物の総称である。長い鼻面と長い足を持ち、イヌに似た姿をしているが、ジャコウネコ科に近縁である。
ハクジラ,ハクジラ類（歯鯨類、Odontoceti）は、鯨偶蹄目に属する分類群で、現生の鯨類を2分する大グループの一つ。リンネ式の分類ではハクジラ亜目またはハクジラ小目の階級が与えられているが、クジラ類が偶蹄目から分岐した系統であるためハクジラ類、ヒゲクジラ類の位置づけは変動する可能性が高い。
バイソン,バイソン属（バイソンぞく、Bison）は、ウシ目（偶蹄目）ウシ科に分類される属。
ビーバー,ビーバー（海狸）は、齧歯目ビーバー科ビーバー属（ビーバーぞく、学名: Castor）に属す種の総称。和名は海狸（かいり、うみだぬき）。中国語では海ではなく河の文字を当て、河狸と表記する。
ピューマ,ピューマ（Puma concolor）は、哺乳綱食肉目ネコ科ピューマ属に分類される食肉類。英名はcougar（クーガー）。
ヘラジカ,ヘラジカ（箆鹿、Alces alces）は、哺乳綱鯨偶蹄目シカ科ヘラジカ属に分類される世界最大のシカ。現生では本種のみでヘラジカ属を構成する。別名オオジカ。
マイルカ,NHKマイルカップ（エヌエイチケイマイルカップ）は、日本中央競馬会（JRA）が東京競馬場で施行する中央競馬の重賞競走（GI）である。競走名の「NHK」は寄贈賞を提供している日本放送協会の略称で、東京都渋谷区神南に本部を置く公共放送を提供する特殊法人。正賞はNHK杯、日本馬主協会連合会会長賞。
ムササビ,ムササビ（鼯鼠、鼺鼠）は、ネズミ目（齧歯目）リス科リス亜科ムササビ属に属する哺乳類の一種である。ムササビ類の総称でもある。ノブスマ（野臥間、野衾）、バンドリ、オカツギ、ソバオシキ、モマなど多くの異名（地方名）がある。
モモンガ,モモンガ（摸摸具和）は、ネズミ目（齧歯目）リス科リス亜科モモンガ族に属する小型哺乳類の総称。滑空によって飛翔する性質を持つリスの仲間。また、狭義には特に、ニホンモモンガ (Pteromys momonga) を指す。漢族語では鼯鼠とよぶ｡前脚から後脚にかけて張られた飛膜を広げて滑空する。ニホンモモンガは、体長14-20cm、尾長10-14cm、体重150-220gで、体重1500gまでに大きくなるムササビよりはるかに小さい。樹上性のリスや、より大型のムササビ類とともにリス亜科を構成する。なお、フクロモモンガやウロコオリスは名前や形態が似ているが、リス科ではない。夜行性で日中は樹洞等に潜む。
ヤマネコ,ヤマネコ（山猫）は、ネコ目（食肉目）ネコ科に属す小型動物を指す便宜的な呼称である。また通常は野生（すなわち家畜化を経ない）のものを指す。分類上の和名は、ネコ属（ヨーロッパヤマネコ、リビアヤマネコ）、ベンガルヤマネコ属、オオヤマネコ属、Catopuma属（ボルネオヤマネコ）がこの名を持つ。日本では、対馬と西表島にベンガルヤマネコ属がいる。イエネコ（ヨーロッパヤマネコ）がいるが家畜種である。　　* 野猫（イエネコが再野生化したもの）を、ヤマネコ（山猫）と呼ぶことがある。
ライオン,ライオン（獅、Panthera leo）は、哺乳綱食肉目ネコ科ヒョウ属に分類される食肉類。別名はシシ（獅子）。オスの体重は250キログラムを超えることもあり、ネコ科ではトラに次いで2番目に大きな種である。現在の主な生息地はアフリカ大陸のサブサハラであり、インドのジル国立公園のインドライオンは絶滅が危惧されている。北アフリカや西南アジアでは有史時代に姿を消している。更新世末期、約1万年前までライオンはヒトに次いで広く分布する大型陸上哺乳類だった。飼育個体は20年以上生存する事も稀にあるが、野生のライオンの寿命はより短く、特にオスが10年以上生きることは稀である。縄張りをめぐって他のオスと常に争うために傷を負い、それが寿命を大きく縮める原因となる。典型的な生息地はサバンナや草原であるが、茂みや森などに棲む場合もある。ライオンは他のネコ科の動物にはあまり見られない社会性を持っている。メスと子ライオン、そして少数の成熟したオスがプライド（群れ）を形成している。狩りの特徴はメスの集団が連係することであり、おもに大型の有蹄類を襲う。ライオンは捕食者の頂点でありまたその象徴的な存在であるが、屍肉を漁ることもある。賢く性質が他のネコ科の動物よりも比較的穏和なため、ライオンがヒトを襲うことはほとんどないが、ライオンによる犠牲者がいることは知られている。世界的に「百獣の王」として有名であり、一般的に最も強い動物であると思われている。オスの外見はたてがみが非常に特徴的であり、容易に認識することができる。オスの容貌はあらゆる文化のなかで動物そのもののシンボルとして最も広まっているものの一つであり、実際に全ての動物の中で国獣として選ばれる数はライオンが最も多い。ライオンは後期旧石器時代から描かれており、古くはラスコー洞窟やショーヴェ洞窟の洞窟画などがある。彫刻や絵画、国旗をはじめ、現代の映画や文学などでも広く扱われている。
リカオン,リカオン（Lycaon pictus）は、哺乳綱食肉目イヌ科リカオン属に分類される食肉類。本種のみでリカオン属を構成する。
リスザル,リスザルは、哺乳綱霊長目オマキザル科に分類されるリスザル属（リスザルぞく、 Saimiri）を構成する霊長類の総称。体長約29cm、尾長約41.5cm。大きさがリスのように小さく、体色も似通っていることから「リスザル」と呼ばれる。中南米の森林に集団で生息し、木の実や虫、小鳥を食べる。
レミング,レミング（Lemming）は、哺乳綱ネズミ目キヌゲネズミ科ハタネズミ亜科レミング族の動物の総称。和名はタビネズミ（旅鼠）。北極及び北極近辺のツンドラ生物群系に生息する。
ワラビー,"ワラビー (wallaby) は、双前歯目カンガルー型亜目カンガルー科に属する動物のうち、カンガルーやワラルーよりも小さな種に対し、一般的に使われる名称である。特に明確な定義付けはなされていないものの、約30種いる。カンガルーに比べ、後ろ足が小さく尾が短い。しかし、後ろ足で跳躍し移動すること、育児嚢で子供を育てることなど、基本的な習性はカンガルーと同じである。小型の森林に生息するワラビーはヤブワラビー（ヤブワラビー属）、ドルコプシス（ドルコプシス属およびコドルコプシス属 (en)) として知られる。ワラビーの名はシドニー周辺で生活していたアボリジニのEora族の言葉に由来している。若いワラビーは他のカンガルー類と同様に""ジョーイ (joey)""として知られる。"
ワラルー,ワラルー (wallaroo) は、カンガルー属のうち3種アカワラルー (antilopine wallaroo) Macropus antilopinusクロワラルー (black wallaroo) Macropus bernardusケナガワラルー (common wallaroo) Macropus robustusの総称である。小型のワラビーと大型のカンガルー（狭義）との中間の大きさであることから、ポートマントーのワラルーと呼ばれる。
アカギツネ,アカギツネ（赤狐、Vulpes vulpes）は、ネコ目イヌ科キツネ属に属する哺乳動物の1種。全北区を中心に世界中に広く分布し、特にユーラシア大陸北部と北米大陸の住民にとって、最も身近なキツネである。日本には、他のキツネ属の動物は自然分布しないため、日本語で単に「キツネ」というときは、通常アカギツネを指す。英語でもイギリスとアイルランドでは、他の野生のイヌ科動物が棲息しないため、アカギツネが単にFox と呼ばれる。
アカネズミ,アカネズミ（赤鼠、Apodemus speciosus）は、ネズミ目（齧歯目）ネズミ科 アカネズミ属 に属する小型のネズミ類の1種である。日本固有種であり北海道から九州までの全域に分布している。
アジアゾウ,アジアゾウ（亜細亜象、Elephas maximus）は、哺乳綱長鼻目ゾウ科アジアゾウ属に分類されるゾウ。アジアゾウ属の模式種。現生種では本種のみでアジアゾウ属を構成する。
アナウサギ,アナウサギ (穴兎、ラテン語名: Oryctolagus cuniculus) は、哺乳綱ウサギ目ウサギ科アナウサギ属に分類されるウサギ。本種のみでアナウサギ属を構成する。
アライグマ,アライグマ (洗熊、浣熊、Procyon lotor) は、哺乳綱食肉目アライグマ科アライグマ属に分類される哺乳類。アライグマ属に属する動物のうち最も広く分布している種である。原産地はメキシコ、アメリカ合衆国、カナダ。これらの原産地では重要な狩猟獣となっている。
アルマジロ,被甲目（ひこうもく、Cingulata）は、哺乳綱に分類される目。現生群を総称してアルマジロ（犰狳、帯獣、armadillo）という。
ヴィクーニャ,ビクーニャ (Vicugna vicugna) は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）ラクダ科に分類される偶蹄類。
インドゾウ,インドゾウ（学名：Elephas maximus indicus、英語名：Indian elephant）は、哺乳綱- ゾウ目（長鼻目）- ゾウ科- アジアゾウ属に分類されるアジアゾウの、下位分類にあたる1亜種。インドゾウを含む種アジアゾウ Elephas maximus は、過去3世代（60から75年）の間で個体数が少なくとも50%減少したとして、1986年よりIUCNに絶滅危惧種と評価されている。
ウンピョウ,ウンピョウ（雲豹、Neofelis nebulosa）は、ネコ科ウンピョウ属に分類される食肉類。本種とスンダウンピョウでウンピョウ属を構成する。別名タカサゴヒョウ（高砂豹）、タイワントラ（台湾虎）。
オグロヌー,オグロヌー(尾黒ヌー Connochaetes taurinus)は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）ウシ科ヌー属に分類される偶蹄類。
オセロット,オセロット（Ocelot、学名：Leopardus pardalis）は、哺乳綱食肉目ネコ科オセロット属に分類される食肉類。
オットセイ,オットセイ（膃肭臍、海狗、英:Fur seal）は、鰭脚類アシカ科のうちキタオットセイ属（キタオットセイ）とミナミオットセイ属（ミナミオットセイ）の総称である。アシカ科にはアシカとオットセイが属する。アシカ亜科・オットセイ亜科に分類されることもあるが、系統的には認められていない。
オナガザル,オナガザル科（オナガザルか、Cercopithecidae）は、霊長目に分類される科。別名旧世界ザル、狭鼻猿。
オポッサム,オポッサム形目 (オポッサムけいもく、Didelphimorphia) は、哺乳綱有袋類に分類される目。現生種はオポッサム科（Didelphidae）のみで構成される。別名オポッサム目、ディデルフィス目（Didelphida）。
オマキザル,オマキザル属（オマキザルぞく、Cebus）は、哺乳綱霊長目オマキザル科に分類される属。
カモノハシ,カモノハシ（鴨嘴、学名: Ornithorhynchus anatinus）は、哺乳綱単孔目カモノハシ科カモノハシ属に分類される哺乳類。哺乳類でありながら卵を産むという特異な繁殖形態をとることで知られる。現生種では本種のみでカモノハシ科カモノハシ属を構成する。和名は英語の duckbill を訳したものである。
カンガルー,カンガルー（袋鼠、更格廬、長尾驢、kangaroo）は、哺乳綱双前歯目カンガルー科を構成する有袋類の総称。狭義では、そのうちカンガルー属の大形種を指す。オーストラリア大陸、タスマニア島、ニューギニア島に生息している。大型の（狭義の）カンガルー、小型のワラビー、樹上性のキノボリカンガルーなどがいるが、同じカンガルー属 Macropus にオオカンガルーもアカクビワラビーも中間サイズのワラルーもおり、大型カンガルーとワラビーの区別は分類学的なものではない。
キタキツネ,キタキツネ（北狐、Vulpes vulpes schrencki）は、北半球に広く分布するアカギツネの亜種。日本では北海道・樺太および周辺島嶼に生息する。名称「北狐」（きたきつね）は、1924年（大正13年）に岸田久吉が樺太に生息する本種に対して命名したものだが、その後に北海道と千島列島南部に生息する本種も「北狐」と呼称されるようになった。アイヌ語ではチロンヌㇷ゚（cironnup）、スマリ（sumari）、キモッペ（kimotpe）、フレㇷ゚（hurep）などの名称がある。1978年（昭和53年）公開のドキュメンタリー映画『キタキツネ物語』でよく知られるようになった。
キツネザル,キツネザル下目（標準和名キツネザル型下目、キツネザルかもく、Lemuriformes）は、霊長目に分類される下目。
キンシコウ,キンシコウ（金絲猴、Rhinopithecus roxellana）は、哺乳綱霊長目オナガザル科シシバナザル属に分類される霊長類。別名ゴールデンモンキー。チベットコバナテングザル。
クマネズミ,クマネズミ（熊鼠、英: black rat、学名：Rattus rattus）は、 ネズミ目（齧歯類）・ネズミ科・クマネズミ属に属する大型のネズミの一種。同属のドブネズミ、小型のハツカネズミと並んで、人家やその周辺に棲息するネズミ類（家ネズミ）の一つ。江戸時代の日本ではクマネズミのことを「田ねずみ」と呼んでいた。背中の毛が蒔絵筆に使われてきたと言われてきたが、ドブネズミであった。ヨーロッパやオセアニアの Rattus rattus とアジアの Rattus tanezumi を別種とする説もある。日本には主に Rattus tanezumi が分布するが、鹿児島県や父島では雑種が見つかっている。同種とする場合は Rattus rattus が共通の学名となる。
コククジラ,コククジラ（克鯨、学名: Eschrichtius robustus）は、哺乳綱偶蹄目コククジラ科コククジラ属に分類されるヒゲクジラである。
コビトカバ,コビトカバ（小人河馬、Choeropsis liberiensis）は、カバ科コビトカバ属に分類される鯨偶蹄類。コガタカバ、ミニカバとも呼ぶ。現生種では本種のみでコビトカバ属を構成する。
シロイルカ,シロイルカ (Delphinapterus leucas) は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）イッカク科シロイルカ属に分類される鯨類。本種のみでシロイルカ属を構成する。別名ベルーガ、シロクジラ。
ジャッカル,ジャッカル（英語: Jackal、胡狼）は、哺乳綱食肉目イヌ科イヌ属 Canis に属するキンイロジャッカルに似た中小型種3–4種の総称である。ただしこれらは、互いに最も近縁な関係になく、単系統ではない。漢字では犴(かん)、野犴(やかん)という呼び名も充てられる。
セミクジラ,セミクジラ（背美鯨、勢美鯨、学名:Eubalaena japonica）はセミクジラ科・セミクジラ属に属するヒゲクジラの1種である。近縁種に、同じセミクジラ属のタイセイヨウセミクジラとミナミセミクジラ、ホッキョククジラ属のホッキョククジラがいる。現在の生息数と分布や回遊などのほとんどの生態情報が不明であり、日本哺乳類学会では絶滅危惧種に登録されている。生存個体数の推定値も100 - 500頭未満と不透明であり、タイセイヨウセミクジラと共に最も絶滅の危機に瀕した大型鯨類の一種とされる。
テナガザル,テナガザル（手長猿）は、霊長目テナガザル科（テナガザルか、Hylobatidae）に属するサルの総称。名前の通り、前肢の長さが特徴的である。
テングザル,テングザル（天狗猿、学名: Nasalis larvatus）は、霊長目オナガザル科テングザル属に分類されるサル。本種のみでテングザル属を構成する。
ドブネズミ,ドブネズミ（溝鼠）は、 ネズミ目（齧歯類） ネズミ科 クマネズミ属 に属する大型のネズミ類の1種。学名 Rattus norvegicus。シチロウネズミ（七郎鼠）、ミゾネズミ（溝鼠）、ハトバネズミ（波止場鼠）、チャイロネズミ（茶色鼠）、ダイコクネズミの別称がある。家畜化されたものは近年ペットとしても人気が広まりつつある。
ナキウサギ,"ナキウサギ（鳴兎、鳴兔、啼兎、啼兔、英：Pika, rock rabbit, whistling hare）は、ウサギ目（重歯目）ナキウサギ科 Ochotonidae に分類される動物の総称。現生するものは1科1属で、同科には ナキウサギ属 Ochotona のみが属する。現在、30種が認められている。その名のとおり、高い警戒音でよく鳴く。近縁種のウサギ科に比べると、総じて耳介は小さく、一見ネズミ、またはハムスターのような姿を持つ。属名の Ochotona は、モンゴル語の ogotona または ochodona に由来する。また、英名の Pika はツングース語の piika に由来するため、本来は/pika/（ピカ）と読むのが正しいが、そのスペリングから /'paɪ·ka/（パイカ）と読まれることが多い。日本には、北海道にキタナキウサギ (O. hyperborea, Northern Pika) の亜種、エゾナキウサギ O. h. yesoensis が棲息する。"
ナマケモノ,ナマケモノ（樹懶）は、哺乳綱有毛目ナマケモノ亜目（Folivora）の総称。ミユビナマケモノ科とフタユビナマケモノ科が現生し、他にいくつかの絶滅科がある。分類群としては、別名食葉亜目。
ナンバット,フクロアリクイ（袋蟻食、Myrmecobius fasciatus）は、フクロネコ目フクロアリクイ科フクロアリクイ属に分類される有袋類。本種のみでフクロアリクイ科フクロアリクイ属を形成する。別名ナンバット。
ニホンザル,ニホンザル（学名：Macaca fuscata）は、オナガザル科マカク属に分類されるサルの一種。
ニホンジカ,ニホンジカ (Cervus nippon) は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）シカ科シカ属に分類される偶蹄類。
ニホンリス,ニホンリス（日本栗鼠 Sciurus lis）は、齧歯目リス科リス属に分類される齧歯類（りす）。
ヌートリア,ヌートリア（Nutria、中国語: 海狸鼠、学名: Myocastor coypus）は、哺乳綱齧歯目ヌートリア科またはアメリカトゲネズミ科ヌートリア属の小型哺乳類。別名は沼狸。南アメリカ原産。日本には本来分布していない外来種で、特定外来生物による生態系等に係る被害の防止に関する法律では指定第一次指定種に分類されている。
ハクビシン,ハクビシン（白鼻芯:Paguma larvata）は、ジャコウネコ科ハクビシン属に分類される食肉類。本種のみでハクビシン属を構成する。その名の通り、額から鼻にかけて白い線があることが特徴である。日本に生息する唯一のジャコウネコ科の哺乳類で、外来種であることは分かっているが移入時期については意見が分かれている（後述）。
ハムスター,ハムスター（独: hamster）は、キヌゲネズミ科キヌゲネズミ亜科に属する齧歯類の総称。夜行性で雑食性である。肩まで広がる大きな頬袋を持つのが特徴。明治期の百科事典や博物学教本に腮鼠という漢字表記が見られる。狭義にはもっぱらゴールデンハムスター（別名シリアンハムスター）をさすが、かつてはクロハラハムスターを指す言葉であった。
ハリネズミ,ハリネズミ（針鼠、彙)は、哺乳綱真無盲腸目ハリネズミ科ハリネズミ亜科（Erinaceinae）に分類される構成種の総称。広義には、ハリネズミ科に属するすべての動物、すなわちジムヌラ亜科Galericinae、ハリネズミ亜科の両方の生物群を指すが、ふつうは針毛をもたない（あるいはほとんどもたない）ジムヌラ類を除いて、ハリネズミ亜科のもののみを指すことが多い。本項でも、ジムヌラ類を除くハリネズミ類について記す。ハリネズミ亜科では、現生のものとしては5属16種が知られている。
ハリモグラ,ハリモグラ（針土竜、学名: Tachyglossus aculeatus）は、単孔目ハリモグラ科ハリモグラ属に分類される単孔類。本種のみでハリモグラ属を構成する。背面がトゲで覆われており、特有の吻と特化した舌を持ち、それを使い獲物であるアリやシロアリを素早く捕らえる。現存している他の単孔類であるカモノハシやミユビハリモグラ属のように、卵生であり、育児嚢や母乳で子供を育てる。英語では、エキドナ（Echidna）と呼ばれる。オーストラリア（中央から北西の砂漠地帯を除く）とタスマニア、ニューギニア島南東部に生息している。差し迫った絶滅の危機にはないともいわれるが、狩猟や生息地の開発などの人間活動、外来種や寄生虫などにより、オーストラリアにおける分布域は減少しつつある。
ビクーニャ,ビクーニャ (Vicugna vicugna) は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）ラクダ科に分類される偶蹄類。
フェネック,フェネック (Vulpes zerda) は、哺乳綱食肉目イヌ科キツネ属に分類される食肉類。別名フェネックギツネ。
フクロネコ,フクロネコ（Dasyurus viverrinus）は、哺乳綱フクロネコ形目フクロネコ科フクロネコ属に分類される有袋類。
マナティー,マナティー科（マナティーか、Trichechidae）は、哺乳綱カイギュウ目（海牛目）に属する科である。
マレーバク,マレーバク（馬来獏、Tapirus indicus）は、哺乳綱ウマ目（奇蹄目）バク科バク属に分類される奇蹄類。
マングース,マングース科（マングースか、Herpestidae）は、哺乳綱食肉目に属する科。
マントヒヒ,マントヒヒ（Papio hamadryas）は、オナガザル科ヒヒ属に分類される霊長類。ヒヒ属の模式種。特定動物。
マンドリル,マンドリル(Mandrillus sphinx)は、哺乳綱霊長目オナガザル科マンドリル属に分類される霊長類。
マーモット,マーモットは、齧歯目リス科マーモット属 (Marmota) に分類される動物の総称。主にアルプス山脈、カルパチア山脈、タトラ山脈、ピレネー山脈、ロッキー山脈、シェラネバダ山脈、ヒマラヤ山脈などの山岳地帯に生息している。ただし、中国東北部からモンゴルにかけての草原に生息するシベリアマーモット（タルバガン）、北米大陸に広く生息するウッドチャックなど、平野部に生息する種もいくつか存在する。一般に巣穴の中で生活しており、冬季は冬眠する。大部分のマーモットは社会性の高度に発達した動物で、危険が迫るとホイッスルのような警戒音でお互いに知らせ合う。食性は主に草食性である。草、果実、コケ、木の根、花などを食する。
メガネザル,メガネザルは、哺乳綱霊長目メガネザル科（メガネザルか、Tarsiidae）に分類される霊長類の総称。現生ではメガネザル科のみでメガネザル型下目を構成する。
モルモット,モルモット（豚鼠、英: guinea pig、蘭: cavia、学名: Cavia porcellus）は、テンジクネズミ属の一種。南米に生息するテンジクネズミ科の野生種が古代インディオのもとで家畜化された種である。温和で比較的飼いやすいため、愛玩用として養殖されている齧歯類。日本語で言う「モルモット」は、マーモットを意味するオランダ語「マルモット (marmot)」に由来する。1843年最初に長崎に天竺ネズミを持ち込んだオランダ商人がマーモットと勘違いしたことから生じた呼称である。オランダ語では普通 cavia と言うが、日本ではオランダ商人の誤謬が広まった。また、英語やオランダ語で言う「marmot（マーモット）」は、山に生息する他の齧歯（げっし）動物、リス科マーモット属、山鼠またはウッドチャックを意味する。
ヤマアラシ,ヤマアラシ（山荒、豪猪、学名：Hystricidae）は、ヤマアラシ科およびアメリカヤマアラシ科に属する草食性の齧歯類の総称である。体の背面と側面の一部に鋭い針毛（とげ）をもつことを特徴とする。
ユキウサギ,ユキウサギ (Lepus timidus)はウサギ目ウサギ科ノウサギ属に属するウサギである。日本には亜種のエゾユキウサギが分布している。
ユキヒョウ,ユキヒョウ（雪豹、学名：Panthera uncia）は、哺乳綱食肉目ネコ科ヒョウ属に分類される食肉類。
ローラシア,ローラシア大陸（ローラシアたいりく、Laurasia）は、プレートテクトニクス理論で太古に存在したとされる超大陸である。1937年に南アフリカの地質学者アレクサンダー・デュ・トワによって提示された。ローレンシア大陸とユーラシア大陸のかばん語から名付けられている。超大陸パンゲアが分裂し、テチス海を挟んでローラシア大陸とゴンドワナ大陸が生成された。ローラシア大陸は、さらに分裂していき、ユーラシア大陸と北アメリカ大陸が形成されていく。ローラシア大陸は、かつてパンゲア大陸を形成したローレンシア大陸、バルティカ大陸、シベリア大陸、カザフスタニア及びシナ地塊から成る。
アイベックス,アイベックス（学名: Capra ibex）はヤギ属に属する哺乳類の一種。主にアルプス山脈に生息する。日本では、アルプスアイベックス（英: Alpine ibex）とも表記される。急峻な山腹、時にはダムの斜面にも出没するなど特異な行動範囲は、蹄の内側にある柔らかい肉球が地表面をつかみ取る構造がもたらすものである。外観は、年々成長し10kgを超える大きさに成長する角が特徴的である。この角は珍重されるが、体全体も様々な病気に薬効があるとされ狩猟の対象となってきた。スイスアルプスに数多く生息していたが、19世紀には乱獲により姿を消した。スイス国内に生息するアイベックスは、1920年代に人工的に放獣された個体の子孫となっている。その後、自然保護団体による保護活動の成果で現在スイスでは約13000～14000頭のアイベックスが確認されている。スイス東部、グラウビュンデン州、ポントレジーナ近郊の山、ピッツ・アルブリスにはスイスで最大規模の生息地があり、スイスのグラウビュンデン州では、アイベックスを州の紋章としている。イタリアでもアイベックスの保護は古くからの課題となっており、国内初の国立公園であるグラン・パラディーゾ国立公園は、アイベックスの保護も目的の一つに設定されたものである。また中東に生息するヌビアアイベックスは密猟等の理由により数が減少し、絶滅危惧種に指定されている。なお、アイベックス（英: ibex）の呼称は、本項のアルプスアイベックスだけでなく、 シベリアアイベックス（学名: Capra sibirica、英: Siberian ibex）など、ヤギ属の中の数種にも用いられる。アイベックス類の一覧は、ヤギ属を参照。天敵として ユキヒョウ、オオカミがいる。
アカワラルー,アカワラルー（英語: Antilopine Kangaroo）は、オーストラリア北部（クイーンズランド州ヨーク岬半島、ノーザンテリトリーのトップエンド、西オーストラリア州のキンバリー地域）に分布するカンガルーの一種である。地元で一般的な、群れをなす草食動物である。赤みがかった雄、灰色がかった雌といったように性的二系である。カンガルー科最大の種の1つであるが、アカカンガルーとオオカンガルーよりわずかに小さい。
アズマモグラ,アズマモグラ（Mogera imaizumii）は、真無盲腸目モグラ科モグラ属に属する哺乳類。
アフリカゾウ,アフリカゾウ（阿弗利加象、Loxodonta africana）は、長鼻目ゾウ科アフリカゾウ属に分類されるゾウ。以下の解説は、独立種とする説もあるマルミミゾウを本種に含む分類に従っている。
イエコウモリ,"アブラコウモリ（油蝙蝠、学名: Pipistrellus abramus）は、コウモリ亜目ヒナコウモリ科に属するコウモリの一種。日本に棲息する中では唯一の、住家性、すなわち、家屋のみをすみかとするコウモリである。したがって、日本では人間にとって最も身近なコウモリであると言える。その習性から、イエコウモリ（家蝙蝠）の別名がある。史前帰化動物とする説もある。また、別名をアブラムシともいい、abramus という種小名はこれに由来する。アブラコウモリは、シーボルトが長崎で入手した標本によって西洋に紹介されたが、当時、九州北部で「アブラムシ」と呼んでいたために、その名称と共にヨーロッパへ渡ることとなった。『日本動物誌』にも Vespertilio abramus として記載されており、長崎の建物の屋根裏などに見られることなどとともに、""Son nom japonais est Abramusi (insecte du lard)""（日本名は Abramusi（脂の昆虫）という）と説明されている。江戸時代には、この呼称は全国的にも一般的であったとされる。"
イボイノシシ,イボイノシシ（疣猪、いぼしし、Phacochoerus aethiopicus）は、哺乳綱ウシ目（偶蹄目）イノシシ科イボイノシシ属に分類される偶蹄類。
イワシクジラ,イワシクジラ（鰯鯨、Balaenoptera borealis）は、クジラ目ナガスクジラ科に属するクジラ。
オオアリクイ,オオアリクイ（大蟻食、Myrmecophaga tridactyla）は、有毛目アリクイ科オオアリクイ属に分類されるアリクイ。本種のみでオオアリクイ属を構成する。オオアリクイ属はアリクイ科の模式属。
カツオクジラ,カツオクジラ（鰹鯨、学名：Balaenoptera edeni）は、ヒゲクジラ亜目の一種。ナガスクジラ科ナガスクジラ属に属する。名前の由来は、カツオが群れる習性があるため。土佐湾の個体はバブルネットフィーディングを行う点で特徴的である。
キヌゲネズミ,ハムスター（独: hamster）は、キヌゲネズミ科キヌゲネズミ亜科に属する齧歯類の総称。夜行性で雑食性である。肩まで広がる大きな頬袋を持つのが特徴。明治期の百科事典や博物学教本に腮鼠という漢字表記が見られる。狭義にはもっぱらゴールデンハムスター（別名シリアンハムスター）をさすが、かつてはクロハラハムスターを指す言葉であった。
クロワラルー,カンガルー（袋鼠、更格廬、長尾驢、kangaroo）は、哺乳綱双前歯目カンガルー科を構成する有袋類の総称。狭義では、そのうちカンガルー属の大形種を指す。オーストラリア大陸、タスマニア島、ニューギニア島に生息している。大型の（狭義の）カンガルー、小型のワラビー、樹上性のキノボリカンガルーなどがいるが、同じカンガルー属 Macropus にオオカンガルーもアカクビワラビーも中間サイズのワラルーもおり、大型カンガルーとワラビーの区別は分類学的なものではない。
コウベモグラ,コウベモグラ（神戸土竜、学名：Mogera wogura）は、真無盲腸目モグラ科モグラ属に属する哺乳類。
ザトウクジラ,ザトウクジラ（座頭鯨、学名: Megaptera novaeangliae）は、哺乳綱偶蹄目ナガスクジラ科ザトウクジラ属に分類されるヒゲクジラであり、本種のみでザトウクジラ属を構成する。
シシバナザル,オナガザル科（オナガザルか、Cercopithecidae）は、霊長目に分類される科。別名旧世界ザル、狭鼻猿。
シマスカンク,シマスカンク（Mephitis mephitis）は、哺乳綱食肉目スカンク科スカンク属に分類される哺乳類。スカンク属の模式種。北アメリカ（カナダ南部、アメリカ合衆国、メキシコ北部）に分布。
ショウジョウ,猩猩（しょうじょう、猩々）は、古典書物に記された架空の動物。能の演目である五番目物の曲名『猩猩』が有名であるが、中国の海棲の精霊と言う設定の猩猩（後シテ）が、真っ赤な能装束で着飾り、酒に浮かれながら舞い謡う。本来は中国の古典書物で、人語をあやつる、または解する獣とされ、酒を好むという記述も古い。海棲と言うのは日本独自の設定である。『本草綱目』（1596年）では猩猩は中国属州交趾郡（ベトナム）産の野獣とし（現代訳ではオランウータン種に同定）、人面獣身で、地毛は黄色である等とまとめるが、その血でもってその毛皮を染める風習が西胡地域にあったと述べている。
ジャコウネコ,ジャコウネコ科（ジャコウネコか、Viverridae）は、哺乳綱食肉目に含まれる科。
チンパンジー,チンパンジー（Pan troglodytes）は、哺乳綱霊長目ヒト科チンパンジー属に分類される類人猿。
ツキノワグマ,ツキノワグマ（月輪熊、学名: Ursus thibetanus）は、哺乳綱食肉目クマ科クマ属に分類される食肉類。別名アジアクロクマ、ヒマラヤグマ。日本の本州、四国にも生息するクマ（熊）である（「ニホンツキノワグマ」を参照）。
トガリネズミ,トガリネズミ科（トガリネズミか、Soricidae）は、哺乳綱真無盲腸目に分類される科。名称に反してネズミ類とは縁遠く、むしろモグラなどに近縁の動物である。英語では shrew と総称する。
